DATE,MDUR,MAUR,MIUR,MNUR,MSUR,MOUR,MTUR,NEUR,NVUR,NHUR,NJUR,NMUR
2011-06-01,7.4,7.3,10.2,6.7,9.9,8.8,6.7,4.4,13.5,5.5,9.4,7.1
2011-07-01,7.4,7.2,10.2,6.7,9.9,8.7,6.7,4.4,13.4,5.5,9.4,7.2
2011-08-01,7.4,7.2,10.1,6.6,9.9,8.6,6.6,4.4,13.4,5.500,9.4,7.3
2011-09-01,7.3,7.1,9.9,6.4,9.8,8.4,6.5,4.300,13.3,5.500,9.300,7.3
2011-10-01,7.2,7.0,9.8,6.2,9.7,8.2,6.4,4.300,13.1,5.4,9.3,7.3
2011-11-01,7.1,6.9,9.6,6.0,9.5,8.0,6.3,4.200,12.8,5.3,9.3,7.3
2011-12-01,7.0,6.800,9.400,5.9,9.3,7.8,6.1,4.1,12.6,5.3,9.3,7.2
2012-01-01,6.9,6.700,9.200,5.8,9.1,7.6,6.0,4.100,12.3,5.2,9.3,7.1
2012-02-01,6.9,6.700,9.100,5.7,9.0,7.5,5.9,4.0,12.2,5.2,9.3,7.0
2012-03-01,6.9,6.7,9.100,5.7,8.9,7.4,5.9,3.9,12.1,5.3,9.4,7.0
2012-04-01,6.9,6.7,9.1,5.7,8.9,7.3,5.9,3.9,12.0,5.400,9.5,7.0
2012-05-01,6.9,6.7,9.1,5.7,8.9,7.2,5.9,3.9,11.9,5.4,9.5,7.0
2012-06-01,6.9,6.7,9.1,5.7,8.9,7.2,5.9,3.9,11.8,5.500,9.5,6.9
2012-07-01,6.9,6.7,9.0,5.7,8.8,7.1,5.9,3.9,11.6,5.6,9.5,6.9
2012-08-01,6.9,6.7,9.0,5.7,8.8,7.0,5.8,3.8,11.4,5.600,9.4,6.9
2012-09-01,6.8,6.7,9.0,5.6,8.7,7.0,5.7,3.8,11.2,5.600,9.4,6.9
2012-10-01,6.8,6.700,9.000,5.6,8.7,7.0,5.6,3.8,11.1,5.6,9.3,6.9
2012-11-01,6.8,6.700,9.000,5.5,8.6,7.0,5.6,3.8,10.9,5.6,9.3,7.0
2012-12-01,6.8,6.7,9.0,5.4,8.6,7.0,5.5,3.8,10.8,5.6,9.2,7.0
2013-01-01,6.8,6.7,9.0,5.4,8.7,6.9,5.5,3.8,10.7,5.6,9.1,7.0
2013-02-01,6.800,6.8,9.0,5.3,8.7,6.9,5.5,3.8,10.6,5.5,9.0,7.0
2013-03-01,6.7,6.8,8.9,5.2,8.7,6.9,5.5,3.8,10.5,5.5,8.9,6.9
2013-04-01,6.700,6.8,8.9,5.2,8.7,6.9,5.5,3.8,10.4,5.4,8.8,6.9
2013-05-01,6.6,6.7,8.8,5.1,8.6,6.8,5.4,3.7,10.2,5.3,8.7,6.9
2013-06-01,6.600,6.7,8.8,5.1,8.5,6.8,5.4,3.7,10.1,5.2,8.5,6.9
2013-07-01,6.5,6.7,8.8,5.0,8.5,6.8,5.400,3.7,9.9,5.2,8.4,6.9
2013-08-01,6.5,6.7,8.8,5.0,8.5,6.8,5.3,3.700,9.8,5.2,8.2,6.9
2013-09-01,6.400,6.6,8.6,4.9,8.4,6.7,5.300,3.6,9.6,5.1,8.0,6.9
2013-10-01,6.300,6.5,8.5,4.8,8.3,6.6,5.2,3.5,9.4,5.1,7.8,6.9
2013-11-01,6.2,6.4,8.4,4.8,8.2,6.6,5.1,3.5,9.3,5.0,7.6,6.9
2013-12-01,6.1,6.3,8.2,4.7,8.1,6.6,5.0,3.5,9.1,4.9,7.5,6.8
2014-01-01,6.1,6.2,8.1,4.7,8.1,6.6,5.000,3.500,8.9,4.8,7.3,6.8
2014-02-01,6.000,6.1,8.0,4.6,8.0,6.6,4.900,3.500,8.8,4.7,7.1,6.7
2014-03-01,5.9,6.0,7.9,4.6,7.9,6.5,4.8,3.4,8.6,4.6,7.0,6.7
2014-04-01,5.900,5.9,7.7,4.5,7.9,6.4,4.7,3.400,8.5,4.500,6.8,6.7
2014-05-01,5.8,5.9,7.5,4.4,7.8,6.3,4.700,3.3,8.3,4.400,6.7,6.7
2014-06-01,5.8,5.8,7.4,4.3,7.7,6.2,4.7,3.3,8.2,4.300,6.7,6.6
2014-07-01,5.7,5.700,7.2,4.2,7.6,6.1,4.600,3.2,8.1,4.3,6.6,6.6
2014-08-01,5.6,5.6,7.0,4.1,7.5,6.0,4.600,3.2,7.9,4.2,6.6,6.6
2014-09-01,5.6,5.6,6.8,4.0,7.4,5.9,4.6,3.1,7.8,4.100,6.6,6.5
2014-10-01,5.5,5.5,6.6,4.0,7.2,5.8,4.5,3.1,7.7,4.1,6.5,6.4
2014-11-01,5.5,5.4,6.4,3.9,7.1,5.7,4.5,3.0,7.6,4.0,6.5,6.4
2014-12-01,5.4,5.2,6.2,3.9,6.9,5.7,4.4,3.0,7.5,3.9,6.4,6.4
2015-01-01,5.4,5.2,6.0,3.8,6.8,5.6,4.3,2.900,7.4,3.8,6.3,6.5
2015-02-01,5.3,5.1,5.900,3.8,6.7,5.6,4.3,2.9,7.3,3.8,6.3,6.6
2015-03-01,5.3,5.0,5.8,3.8,6.7,5.6,4.3,3.0,7.2,3.7,6.2,6.7
2015-04-01,5.2,5.0,5.7,3.8,6.6,5.5,4.2,3.0,7.1,3.6,6.1,6.7
2015-05-01,5.1,4.9,5.6,3.8,6.5,5.3,4.3,3.0,7.0,3.5,6.0,6.7
2015-06-01,5.0,4.8,5.5,3.8,6.4,5.2,4.3,3.0,6.9,3.4,5.8,6.7
2015-07-01,4.9,4.7,5.4,3.8,6.3,5.0,4.3,3.0,6.8,3.3,5.6,6.6
2015-08-01,4.9,4.7,5.2,3.8,6.3,4.9,4.3,3.0,6.7,3.3,5.5,6.6
2015-09-01,4.8,4.6,5.1,3.8,6.3,4.8,4.3,3.0,6.6,3.2,5.3,6.6
2015-10-01,4.7,4.6,5.0,3.7,6.4,4.7,4.3,3.0,6.5,3.1,5.2,6.5
2015-11-01,4.7,4.5,5.0,3.8,6.4,4.6,4.3,3.0,6.4,3.0,5.1,6.5
2015-12-01,4.6,4.4,4.9,3.8,6.4,4.5,4.3,3.0,6.3,3.0,5.0,6.5
2016-01-01,4.5,4.4,4.9,3.8,6.3,4.5,4.4,3.0,6.2,2.9,5.0,6.5
2016-02-01,4.4,4.3,4.9,3.8,6.2,4.4,4.4,3.0,6.2,2.9,5.0,6.5
2016-03-01,4.3,4.2,5.0,3.8,6.1,4.4,4.4,3.0,6.1,2.8,5.0,6.6
2016-04-01,4.3,4.1,5.0,3.8,6.0,4.5,4.4,3.0,6.0,2.8,5.0,6.6
2016-05-01,4.3,4.1,5.0,3.8,6.0,4.6,4.4,3.0,5.9,2.9,5.0,6.7
2016-06-01,4.3,4.0,5.0,3.8,5.9,4.7,4.3,3.1,5.8,2.9,5.0,6.8
2016-07-01,4.2,3.9,5.0,3.9,5.9,4.7,4.3,3.1,5.7,2.9,5.0,6.9
2016-08-01,4.2,3.9,5.0,3.9,5.9,4.7,4.3,3.1,5.7,2.9,5.0,6.9
2016-09-01,4.3,3.9,5.1,4.0,5.9,4.7,4.3,3.1,5.6,2.9,4.9,6.9
2016-10-01,4.3,3.9,5.1,4.0,5.9,4.6,4.3,3.2,5.6,2.9,4.9,6.9
2016-11-01,4.2,3.9,5.1,4.0,5.8,4.5,4.2,3.1,5.5,2.9,4.8,6.9
2016-12-01,4.2,3.9,5.0,3.9,5.7,4.3,4.2,3.1,5.4,2.9,4.7,6.8
2017-01-01,4.2,3.9,4.9,3.8,5.6,4.2,4.2,3.1,5.3,2.9,4.6,6.7
2017-02-01,4.1,3.8,4.7,3.7,5.5,4.0,4.2,3.0,5.2,2.9,4.5,6.6
2017-03-01,4.1,3.8,4.5,3.6,5.4,3.9,4.1,3.0,5.2,2.9,4.5,6.5
2017-04-01,4.1,3.8,4.4,3.5,5.4,3.9,4.1,2.9,5.1,2.8,4.4,6.4
2017-05-01,4.0,3.8,4.3,3.5,5.3,3.8,4.1,2.9,5.1,2.8,4.4,6.2
2017-06-01,4.0,3.8,4.4,3.4,5.3,3.7,4.1,2.9,5.0,2.8,4.5,6.1
2017-07-01,4.0,3.8,4.5,3.4,5.2,3.7,4.1,2.9,5.0,2.8,4.5,6.0
2017-08-01,4.1,3.8,4.6,3.4,5.1,3.7,4.1,2.9,4.9,2.8,4.5,5.9
2017-09-01,4.1,3.8,4.7,3.3,5.0,3.6,4.1,2.9,4.9,2.8,4.6,5.8
2017-10-01,4.1,3.8,4.7,3.3,5.0,3.6,4.1,2.9,4.9,2.8,4.6,5.7
2017-11-01,4.1,3.8,4.7,3.2,4.9,3.6,4.1,2.9,4.8,2.8,4.5,5.6
2017-12-01,4.1,3.7,4.6,3.2,4.9,3.5,4.0,2.9,4.8,2.8,4.5,5.4
2018-01-01,4.1,3.7,4.5,3.1,4.9,3.5,4.0,2.9,4.7,2.8,4.4,5.2
2018-02-01,4.0,3.6,4.4,3.1,4.9,3.4,3.9,2.9,4.6,2.8,4.4,5.1
2018-03-01,4.0,3.6,4.3,3.1,4.9,3.3,3.9,2.9,4.6,2.7,4.3,4.9
2018-04-01,3.9,3.5,4.2,3.0,4.9,3.3,3.8,2.8,4.5,2.7,4.2,4.8
2018-05-01,3.9,3.5,4.1,3.0,4.9,3.2,3.8,2.8,4.4,2.7,4.1,4.8
2018-06-01,3.8,3.5,4.0,2.9,4.8,3.2,3.7,2.8,4.3,2.6,4.0,4.7
2018-07-01,3.8,3.4,4.0,2.9,4.8,3.1,3.7,2.8,4.3,2.6,3.9,4.8
2018-08-01,3.7,3.4,4.0,2.9,4.8,3.1,3.7,2.8,4.3,2.6,3.8,4.8
2018-09-01,3.7,3.3,4.0,3.0,4.9,3.1,3.7,2.8,4.3,2.5,3.8,4.9
2018-10-01,3.7,3.3,4.1,3.0,5.0,3.1,3.7,2.9,4.3,2.6,3.7,5.0
2018-11-01,3.7,3.3,4.1,3.1,5.2,3.1,3.7,2.9,4.3,2.6,3.7,5.1
2018-12-01,3.7,3.3,4.2,3.2,5.3,3.2,3.7,3.0,4.3,2.6,3.6,5.2
2019-01-01,3.7,3.2,4.2,3.2,5.4,3.2,3.7,3.0,4.2,2.6,3.6,5.2
2019-02-01,3.6,3.2,4.2,3.2,5.4,3.2,3.6,3.0,4.1,2.6,3.5,5.1
2019-03-01,3.6,3.1,4.2,3.2,5.4,3.2,3.6,3.0,4.1,2.6,3.4,5.1
2019-04-01,3.5,3.1,4.2,3.2,5.4,3.1,3.6,3.0,4.0,2.6,3.3,5.1
2019-05-01,3.5,3.0,4.2,3.1,5.4,3.1,3.6,3.0,3.9,2.6,3.2,5.0
2019-06-01,3.5,3.0,4.2,3.1,5.5,3.2,3.6,3.0,3.9,2.6,3.2,5.0
2019-07-01,3.5,3.0,4.1,3.1,5.6,3.2,3.6,3.0,3.9,2.6,3.3,5.0
2019-08-01,3.5,3.0,4.1,3.1,5.7,3.3,3.6,3.0,3.9,2.6,3.4,5.0
2019-09-01,3.4,3.0,4.0,3.1,5.7,3.4,3.6,3.0,3.8,2.6,3.5,5.0
2019-10-01,3.4,2.9,3.9,3.1,5.6,3.4,3.6,2.9,3.7,2.6,3.5,4.9
2019-11-01,3.3,2.9,3.8,3.1,5.6,3.5,3.6,2.9,3.7,2.6,3.6,4.9
2019-12-01,3.3,2.9,3.7,3.1,5.5,3.5,3.6,2.9,3.6,2.6,3.6,5.0
2020-01-01,3.4,2.8,3.7,3.2,5.6,3.6,3.7,2.9,3.7,2.6,3.7,5.1
2020-02-01,3.5,2.8,3.7,3.3,5.8,3.6,3.7,3.0,3.7,2.6,3.7,5.3
2020-03-01,3.5,2.7,3.7,3.5,6.0,3.7,3.8,3.1,6.4,2.7,3.8,5.4
2020-04-01,9.0,16.4,23.6,9.0,15.7,12.5,11.9,7.4,29.5,16.0,16.6,10.0
2020-05-01,9.0,15.3,20.8,11.3,11.0,9.6,9.1,5.4,24.5,13.4,16.5,10.0
2020-06-01,8.6,14.8,14.1,8.9,9.6,8.1,7.6,6.6,15.4,10.3,16.3,9.8
2020-07-01,8.7,9.8,9.0,7.6,8.5,6.8,6.6,4.4,16.6,8.1,13.1,12.5
2020-08-01,8.6,9.3,8.5,6.6,7.8,6.0,5.8,4.0,14.5,6.6,11.0,9.3
2020-09-01,7.0,8.9,8.2,5.8,7.2,5.4,5.2,3.8,13.0,5.5,7.8,8.6
2020-10-01,6.8,8.5,8.1,5.3,6.9,5.0,4.7,3.6,12.0,4.7,7.7,8.5
2020-11-01,6.8,8.4,8.2,5.0,6.7,4.7,4.5,3.4,8.7,4.2,10.2,8.5
2020-12-01,6.8,8.4,8.2,4.7,6.6,4.4,4.2,3.4,8.2,3.8,7.7,8.6
2021-01-01,6.4,7.8,5.7,4.5,6.4,4.3,4.0,3.2,8.5,3.6,7.8,8.7
2021-02-01,6.2,7.0,5.2,4.4,6.3,4.3,3.9,3.1,8.4,3.3,7.8,8.3
2021-03-01,6.2,6.7,5.1,4.2,6.2,4.2,3.8,2.9,8.1,3.0,7.6,8.3
2021-04-01,6.2,6.4,4.9,4.1,6.2,4.1,3.7,2.8,8.0,2.8,7.5,8.1
2021-05-01,6.1,5.0,5.0,4.0,6.1,4.2,3.6,2.6,7.8,2.9,7.2,7.9
2021-06-01,6.2,4.9,5.0,4.0,6.2,4.3,3.7,2.5,7.8,2.9,7.2,7.9
2021-07-01,6.0,4.9,4.8,3.9,6.1,4.2,3.6,2.3,7.7,2.9,7.3,7.6
